element	category	rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate
Age_q	(-inf, 19.0]	0.17368314012609315	4917	854.0	-1	0.0	0.1526638661601266	0.1947024140920597	0.17368314012609315	-0.25965917585789206
Age_q	(19.0, 38.0]	0.37141967621419675	19272	7158.0	-1	1.399240241740239e-68	0.35787822754036785	0.38496112488802564	0.37141967621419675	-0.06192263976978846
Age_q	(38.0, 60.0]	0.5753026021677702	23711	13641.0	1	0.0	0.5628135721135842	0.5877916322219562	0.5753026021677702	0.14196028618378498
Age_q	(60.0, inf]	0.21224086870681144	4052	860.0	-1	1.9392810227442144e-192	0.18724937646095086	0.23723236095267203	0.21224086870681144	-0.22110144727717376
Arrival Delay in Minutes_q	(-inf, 0.0]	0.47004259997251613	29108	13682.0	1	0.0	0.4586611240508519	0.48142407589418035	0.47004259997251613	0.036700283988530924
Arrival Delay in Minutes_q	(0.0, 5.0]	0.47811725846407926	4844	2316.0	1	1.664670623569009e-10	0.4501939234162267	0.5060405935119318	0.47811725846407926	0.04477494248009406
Arrival Delay in Minutes_q	(5.0, 84.0]	0.3635076883484527	15543	5650.0	-1	1.945279111965513e-70	0.3484969645219276	0.37851841217497784	0.3635076883484527	-0.0698346276355325
Arrival Delay in Minutes_q	(84.0, inf]	0.3489787049109083	2301	803.0	-1	9.499070158902403e-17	0.31031936556186895	0.3876380442599477	0.3489787049109083	-0.08436361107307688
Arrival Delay in Minutes_q	.	0.3974358974358974	156	62.0	0	0.20527190977936846	0.2449995441068072	0.5498722507649876	0.4333423159839852	0.0
Baggage handling_q	(-inf, 2.0]	0.2973859667689703	9449	2810.0	-1	5.146247785047355e-163	0.27909058831822464	0.3156813452197159	0.2973859667689703	-0.13595634921501493
Baggage handling_q	(2.0, 3.0]	0.23372465314834578	10307	2409.0	-1	0.0	0.2175067677430089	0.24994253855368267	0.23372465314834578	-0.19961766283563942
Baggage handling_q	(3.0, 4.0]	0.4803633449104996	18715	8990.0	1	0.0	0.4661546044818259	0.4945720853391733	0.4803633449104996	0.047021028926514385
Baggage handling_q	(4.0, inf]	0.6159780431718715	13481	8304.0	1	0.0	0.5996807579433305	0.6322753284004126	0.6159780431718715	0.18263572718788634
Checkin service_q	(-inf, 1.0]	0.24095267553356017	6466	1558.0	-1	2.3398380843857397e-228	0.22026088229755178	0.26164446876956854	0.24095267553356017	-0.19238964045042503
Checkin service_q	(1.0, 2.0]	0.25	6388	1597.0	-1	3.634748554808561e-204	0.22892178359183912	0.2710782164081609	0.25	-0.1833423159839852
Checkin service_q	(2.0, 4.0]	0.45671153779261886	28749	13130.0	1	6.661338147750939e-16	0.44528168760829356	0.46814138797694416	0.45671153779261886	0.023369221808633656
Checkin service_q	(4.0, inf]	0.6017972750990433	10349	6228.0	1	0.0	0.5830756430459564	0.6205189071521303	0.6017972750990433	0.16845495911505814
Class	Business	0.6946481824776336	24814	17237.0	1	0.0	0.6832732194334714	0.7060231455217958	0.6946481824776336	0.2613058664936484
Class	Eco	0.18627031650983747	23380	4355.0	-1	0.0	0.17636415672247727	0.19617647629719767	0.18627031650983747	-0.24707199947414774
Class	Eco Plus	0.2450771687067589	3758	921.0	-1	9.001406956640593e-128	0.21777859251998571	0.2723757448935321	0.2450771687067589	-0.1882651472772263
Cleanliness_q	(-inf, 1.0]	0.1945590707626471	6543	1273.0	-1	0.0	0.1755189453018324	0.21359919622346182	0.1945590707626471	-0.2387832452213381
