element_name	complexity	uncertainty	total_count	sig_count	non_sig_count
Online boarding_q	1.6200165578812002	0.6858614714035689	4	4	0
Class	1.301652765560813	0.7942681209422153	3	3	0
Inflight wifi service_q	0.6902159854984764	0.8065547055997655	3	3	0
Type of Travel	0.8954461528631505	0.820602538118544	2	2	0
Inflight entertainment_q	1.9066549679418396	0.8529951841357333	4	4	0
Seat comfort_q	1.9750951026091483	0.8746658469088988	4	4	0
Leg room service_q	1.875427871306844	0.9006586937459591	4	4	0
On-board service_q	1.9892024648325326	0.9043273450330416	4	4	0
Cleanliness_q	1.7940413122494658	0.9151050326459966	4	3	1
Flight Distance_q	1.3431762961957114	0.9151402426874256	4	3	1
Ease of Online booking_q	1.4521077984700232	0.9157048332571369	4	4	0
Age_q	1.6561720419347572	0.9231712083329655	4	4	0
Baggage handling_q	1.9458509369818464	0.9244951313035039	4	4	0
Inflight service_q	1.9403115990917486	0.9288792521502214	4	4	0
Checkin service_q	1.6820393568756695	0.9424881569637584	4	4	0
Food and drink_q	1.8643902335262554	0.9500083790562055	4	4	0
Customer Type	0.683419116913937	0.9615913678868262	2	2	0
Gate location_q	1.4147643484969326	0.9708574452348793	3	3	0
Arrival Delay in Minutes_q	1.532596432695525	0.9790784430223543	5	4	1
Departure/Arrival time convenient_q	1.4369772621879322	0.9836207242378132	4	2	2
Departure Delay in Minutes_q	1.339167282352184	0.9836832421147097	4	2	2
id_q	1.0789043190675625	0.9858565315271062	4	2	2
Gender	0.0	0.9871412506286654	2	0	2
row_id_q	0.0	0.9871412506286654	4	0	4
