element	category	rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate
age_q	(-inf, 28.0]	0.18048318332543817	2111	381.0	1	0.0	0.14791684981131983	0.2130495168395565	0.18048318332543817	0.06782901220763686
age_q	(28.0, 57.0]	0.09490607352771695	17354	1647.0	-1	1.9943714859492228e-14	0.08625022379193889	0.103561923263495	0.09490607352771695	-0.01774809759008436
age_q	(57.0, inf]	0.25863596102745795	1129	292.0	1	0.0	0.20793351416180203	0.30933840789311384	0.25863596102745795	0.14598178990965666
campaign_q	(-inf, 1.0]	0.13069149540138525	8807	1151.0	1	7.302123805619232e-08	0.11671776672468318	0.14466522407808732	0.13069149540138525	0.01803732428358394
campaign_q	(1.0, 3.0]	0.11270953214911184	7994	901.0	0	0.4848816974706882	0.09894863223052786	0.12647043206769581	0.11265417111780131	0.0
campaign_q	(3.0, 6.0]	0.08352668213457076	2586	216.0	-1	6.427941158817294e-07	0.06235896884335484	0.10469439542578668	0.08352668213457076	-0.029127488983230546
campaign_q	(6.0, inf]	0.04308202154101077	1207	52.0	-1	6.077197286259705e-18	0.02034427424192435	0.06581976884009719	0.04308202154101077	-0.06957214957679053
cons.conf.idx_q	(-inf, -37.5]	0.11874128042164006	12902	1532.0	0	0.014359690626768895	0.10766128105881367	0.12982127978446645	0.11265417111780131	0.0
cons.conf.idx_q	(-37.5, -36.1]	0.03947986840043866	6383	252.0	-1	2.1997349201986288e-98	0.029996899231711657	0.04896283756916567	0.03947986840043866	-0.07317430271736264
cons.conf.idx_q	(-36.1, inf]	0.4094728800611154	1309	536.0	1	0.0	0.35659447482652973	0.462351285295701	0.4094728800611154	0.2968187089433141
cons.price.idx_q	(-inf, 92.843]	0.3966074313408724	1238	491.0	1	0.0	0.34251509289082377	0.450699769790921	0.3966074313408724	0.2839532602230711
cons.price.idx_q	(92.843, 93.994]	0.083465238037258	16426	1371.0	-1	3.5113768085667944e-35	0.0750691485962196	0.0918613274782964	0.083465238037258	-0.02918893308054331
cons.price.idx_q	(93.994, inf]	0.15631399317406144	2930	458.0	1	4.474198789239381e-13	0.1302121474491609	0.18241583889896199	0.15631399317406144	0.043659822056260136
contact	cellular	0.1468900619692449	13071	1920.0	1	0.0	0.13484358715328223	0.15893653678520756	0.1468900619692449	0.03423589085144359
contact	telephone	0.05317027781470158	7523	400.0	-1	1.8925305490069815e-72	0.04310581610630623	0.06323473952309693	0.05317027781470158	-0.05948389330309973
day_of_week	fri	0.10976532929598788	3963	435.0	0	0.2926928619134751	0.0904461583676779	0.12908450022429788	0.11265417111780131	0.0
day_of_week	mon	0.0987535953978907	4172	412.0	0	0.0021063599573347335	0.08078385688072008	0.11672333391506133	0.11265417111780131	0.0
day_of_week	thu	0.11997242013330268	4351	522.0	0	0.061487760108961176	0.10080736881521615	0.13913747145138922	0.11265417111780131	0.0
day_of_week	tue	0.12190856857356983	4003	488.0	0	0.03135060352684271	0.10178940751467248	0.14202772963246718	0.11265417111780131	0.0
day_of_week	wed	0.11278928136419002	4105	463.0	0	0.47670807860652875	0.09358020863723125	0.1319983540911488	0.11265417111780131	0.0
default	no	0.12975033821178206	16262	2110.0	1	6.548983577658873e-12	0.11949842598462625	0.14000225043893788	0.12975033821178206	0.01709616709398075
default	unknown	0.04848764719464327	4331	210.0	-1	3.996275453158608e-50	0.035789383081291135	0.0611859113079954	0.04848764719464327	-0.06416652392315804
default	yes	0.0	1	0.0	0	0.5	0.0	0.0	0.11265417111780131	0.0
education	basic.4y	0.10346487006737247	2078	215.0	0	0.09739414604739505	0.07747087576929393	0.129458864365451	0.11265417111780131	0.0
education	basic.6y	0.08527131782945736	1161	99.0	0	0.001326792432643745	0.05338185506531335	0.11716078059360138	0.11265417111780131	0.0
education	basic.9y	0.07989435457246616	3029	242.0	-1	1.4176095322979787e-09	0.06072784924875036	0.09906085989618196	0.07989435457246616	-0.03275981654533515
education	high.school	0.10943712073655576	4779	523.0	0	0.24909044573982037	0.09186752434284112	0.1270067171302704	0.11265417111780131	0.0
education	illiterate	0.14285714285714285	7	1.0	0	0.5	0.0	0.6574268812076072	0.11265417111780131	0.0
education	professional.course	0.11346153846153846	2600	295.0	0	0.43289360462074944	0.08926227612349233	0.1376608007995846	0.11265417111780131	0.0
education	university.degree	0.13708609271523178	6040	828.0	1	2.3654656011729003e-09	0.1198682934309313	0.15430389199953226	0.13708609271523178	0.024431921597430475
education	unknown	0.13	900	117.0	0	0.046966924008848165	0.08638601955627447	0.17361398044372556	0.11265417111780131	0.0
emp.var.rate_q	(-inf, -2.9]	0.38670284938941657	1474	570.0	1	0.0	0.3373524019538768	0.43605329682495636	0.38670284938941657	0.2740486782716153
emp.var.rate_q	(-2.9, -1.1]	0.20535041446872646	5308	1090.0	1	0.0	0.1837786414393573	0.22692218749809562	0.20535041446872646	0.09269624335092515
emp.var.rate_q	(-1.1, -0.1]	0.06670195870831128	1889	126.0	-1	8.697629593831969e-12	0.04436730781176093	0.08903660960486162	0.06670195870831128	-0.04595221240949003
emp.var.rate_q	(-0.1, inf]	0.04478738572506919	11923	534.0	-1	6.815725445379751e-153	0.037417669154083844	0.05215710229605454	0.04478738572506919	-0.06786678539273211
euribor3m_q	(-inf, 0.802]	0.47337278106508873	1014	480.0	1	0.0	0.41236994986987274	0.5343756122603047	0.47337278106508873	0.36071860994728744
euribor3m_q	(0.802, 1.235]	0.437555358724535	1129	494.0	1	0.0	0.38011394752104666	0.49499676992802333	0.437555358724535	0.3249011876067337
euribor3m_q	(1.235, 1.811]	0.1478766975641302	4639	686.0	1	1.3367085216486885e-13	0.12759965639112167	0.1681537387371387	0.1478766975641302	0.03522252644632888
euribor3m_q	(1.811, inf]	0.04778453518679409	13812	660.0	-1	1.7203272134748384e-159	0.04072300711166454	0.05484606326192364	0.04778453518679409	-0.06486963593100722
housing	no	0.10547538200339558	9424	994.0	0	0.013750065387251365	0.09316505072796219	0.11778571327882897	0.11265417111780131	0.0
housing	unknown	0.12448132780082988	482	60.0	0	0.1847667597104249	0.06597848499776102	0.18298417060389874	0.11265417111780131	0.0
housing	yes	0.11845059880239521	10688	1266.0	0	0.028687237581729974	0.10628987536171157	0.13061132224307886	0.11265417111780131	0.0
job	admin.	0.13358999037536093	5195	694.0	1	1.4381447677180859e-06	0.11522580827444262	0.15195417247627924	0.13358999037536093	0.02093581925755962
job	blue-collar	0.06790123456790123	4698	319.0	-1	1.9738133257168424e-25	0.053621209421061695	0.08218125971474076	0.06790123456790123	-0.04475293654990008
job	entrepreneur	0.08533333333333333	750	64.0	0	0.00861171416338179	0.04564381517175211	0.12502285149491454	0.11265417111780131	0.0
job	housemaid	0.10674157303370786	534	57.0	0	0.36384240231257137	0.05475389644329015	0.15872924962412557	0.11265417111780131	0.0
job	management	0.11196641007697691	1429	160.0	0	0.48819501041813634	0.07951316451368307	0.14441965564027076	0.11265417111780131	0.0
job	retired	0.22977725674091443	853	196.0	1	0.0	0.1737366471860668	0.28581786629576206	0.22977725674091443	0.11712308562311312
job	self-employed	0.10294117647058823	680	70.0	0	0.23166236579798163	0.057602770678483566	0.1482795822626929	0.11265417111780131	0.0
job	services	0.07886904761904762	2016	159.0	-1	2.9958991392245975e-07	0.055513804142517206	0.10222429109557803	0.07886904761904762	-0.03378512349875369
job	student	0.3279445727482679	433	142.0	1	0.0	0.24016883286717255	0.4157203126293632	0.3279445727482679	0.2152904016304666
job	technician	0.11230907457322552	3339	375.0	0	0.4885760198353806	0.09104993017975758	0.13356821896669346	0.11265417111780131	0.0
job	unemployed	0.12871287128712872	505	65.0	0	0.11422662511447434	0.07073508538940387	0.18669065718485356	0.11265417111780131	0.0
job	unknown	0.11728395061728394	162	19.0	0	0.36713609878993103	0.018930868480846158	0.21563703275372173	0.11265417111780131	0.0
loan	no	0.11419134127639495	16954	1936.0	0	0.25880797651736875	0.10468822298996769	0.12369445956282221	0.11265417111780131	0.0
loan	unknown	0.12448132780082988	482	60.0	0	0.1847667597104249	0.06597848499776102	0.18298417060389874	0.11265417111780131	0.0
loan	yes	0.1025965801139962	3158	324.0	0	0.037908660924915634	0.08158929565181361	0.12360386457617878	0.11265417111780131	0.0
marital	divorced	0.10275150472914875	2326	239.0	0	0.06832942230265732	0.07825741603093424	0.12724559342736327	0.11265417111780131	0.0
marital	married	0.10150285300972434	12443	1263.0	-1	3.515818562360613e-05	0.09096988895415588	0.1120358170652928	0.10150285300972434	-0.011151318108076971
marital	single	0.14043583535108958	5782	812.0	1	4.3155368167902e-11	0.12265898752601309	0.15821268317616607	0.14043583535108958	0.027781664233288275
marital	unknown	0.13953488372093023	43	6.0	0	0.5	0.0	0.3451189636484865	0.11265417111780131	0.0
month	apr	0.19894894894894896	1332	265.0	1	0.0	0.15639258776325707	0.24150531013464085	0.19894894894894896	0.08629477783114765
month	aug	0.10455588331694526	3051	319.0	0	0.08176246813721452	0.0830038596976006	0.12610790693628993	0.11265417111780131	0.0
month	dec	0.5217391304347826	92	48.0	1	0.0	0.3191197921618098	0.7243584687077553	0.5217391304347826	0.4090849593169813
month	jul	0.08916478555304741	3544	316.0	-1	2.8773965622638467e-06	0.07054025172046807	0.10778931938562675	0.08916478555304741	-0.023489385564753898
month	jun	0.1032329169728141	2722	281.0	0	0.06236336708044759	0.08054364582783215	0.12592218811779607	0.11265417111780131	0.0
month	mar	0.51440329218107	243	125.0	1	0.0	0.3896642868908621	0.6391422974712778	0.51440329218107	0.40174912106326865
month	may	0.06633763971548846	6889	457.0	-1	4.1394561743478686e-39	0.0546718936805702	0.07800338575040673	0.06633763971548846	-0.046316531402312844
month	nov	0.1027364378300528	2083	214.0	0	0.07985864067534477	0.07685470741877053	0.1286181682413351	0.11265417111780131	0.0
month	oct	0.4376731301939058	361	158.0	1	0.0	0.3360876971347364	0.5392585632530752	0.4376731301939058	0.3250189590761045
month	sep	0.49458483754512633	277	137.0	1	0.0	0.37771018720455823	0.6114594878856945	0.49458483754512633	0.38193066642732504
nr.employed_q	(-inf, 5008.7]	0.5332671300893744	1007	537.0	1	0.0	0.4721014874890793	0.5944327726896695	0.5332671300893744	0.42061295897157314
nr.employed_q	(5008.7, 5076.2]	0.38670284938941657	1474	570.0	1	0.0	0.3373524019538768	0.43605329682495636	0.38670284938941657	0.2740486782716153
nr.employed_q	(5076.2, 5099.1]	0.12857475005812602	4301	553.0	0	0.0005423539510192033	0.10871728213455961	0.14843221798169243	0.11265417111780131	0.0
nr.employed_q	(5099.1, inf]	0.04778453518679409	13812	660.0	-1	1.7203272134748384e-159	0.04072300711166454	0.05484606326192364	0.04778453518679409	-0.06486963593100722
pdays_q	(-inf, inf]	0.11265417111780131	20594	2320.0	0	0.5055312838251264	0.104082501629737	0.12122584060586561	0.11265417111780131	0.0
poutcome	failure	0.14285714285714285	2156	308.0	1	7.788247172513252e-06	0.11353681085159086	0.17217747486269483	0.14285714285714285	0.03020297173934154
poutcome	nonexistent	0.08743231046931407	17728	1550.0	-1	2.129042025777488e-28	0.07917850313999826	0.09568611779862989	0.08743231046931407	-0.025221860648487235
poutcome	success	0.6507042253521127	710	462.0	1	0.0	0.581093688704421	0.7203147619998044	0.6507042253521127	0.5380500542343114
previous_q	(-inf, 0.0]	0.08743231046931407	17728	1550.0	-1	2.129042025777488e-28	0.07917850313999826	0.09568611779862989	0.08743231046931407	-0.025221860648487235
previous_q	(0.0, inf]	0.2686671318911375	2866	770.0	1	0.0	0.23645329915152916	0.3008809646307458	0.2686671318911375	0.1560129607733362
