element_name	complexity	uncertainty	total_count	sig_count	non_sig_count
nr.employed_q	1.3436039789524323	0.4189603617681352	4	3	1
euribor3m_q	1.3144466203543166	0.42522839556105607	4	4	0
emp.var.rate_q	1.5490712625224132	0.4428670654992086	4	4	0
poutcome	0.694452355243445	0.4624233203906507	3	3	0
cons.conf.idx_q	1.199134981499295	0.46577471861431885	3	2	1
month	2.0476091619767343	0.46924794667965575	10	7	3
cons.price.idx_q	0.9043019654345918	0.477656618851783	3	3	0
previous_q	0.5820524320113115	0.4851362641413929	2	2	0
contact	0.9469952843114329	0.4915765783013817	2	2	0
job	2.1538332245928933	0.4941789608153351	12	5	7
age_q	0.7746137371788842	0.4964552575702781	3	3	0
default	0.7428127120591665	0.4985106406903035	3	2	1
campaign_q	1.669787689399637	0.5034678391580345	4	3	1
education	1.394397751134511	0.5053541441480736	8	2	6
marital	1.3125992173575503	0.5057752059537175	4	2	2
day_of_week	0.0	0.507870194516452	5	0	5
housing	0.0	0.507870194516452	3	0	3
loan	0.0	0.507870194516452	3	0	3
pdays_q	0.0	0.507870194516452	1	0	1
