element	category	rate	count	positive	flag	prob	rate_lower	rate_upper	scoring_rate	scoring_delta_rate
age_q	(-inf, 23.0]	0.007115948095437421	2389	17.0	-1	3.758782468056902e-252	0.0004252219375711092	0.013806674253303734	0.007115948095437421	-0.23367029269080336
age_q	(23.0, 27.0]	0.06948640483383686	1655	115.0	-1	4.99859736895685e-76	0.04516839889482839	0.09380441077284533	0.06948640483383686	-0.17129983595240392
age_q	(27.0, 35.0]	0.21154401154401153	3465	733.0	-1	2.440692615173637e-05	0.1845508873314063	0.23853713575661678	0.21154401154401153	-0.029242229242229245
age_q	(35.0, inf]	0.34830692053357654	8771	3055.0	1	0.0	0.3285147361765964	0.3680991048905567	0.34830692053357654	0.10752067974733576
capg_q	(-inf, 3471.0]	0.2045439664767891	15273	3124.0	-1	7.940539196460917e-27	0.19184539324779587	0.21724253970578233	0.2045439664767891	-0.03624227430945168
capg_q	(3471.0, inf]	0.7904667328699106	1007	796.0	1	0.0	0.7405703305924282	0.8403631351473931	0.7904667328699106	0.5496804920836699
capl_q	(-inf, inf]	0.24078624078624078	16280	3920.0	0	0.5042881329935271	0.22774898024165802	0.25382350133082354	0.24078624078624078	0.0
edu	 10th	0.06318082788671024	459	29.0	-1	3.801689748882197e-24	0.019000404322958485	0.10736125145046199	0.06318082788671024	-0.17760541289953052
edu	 11th	0.06301824212271974	603	38.0	-1	2.6701242496120976e-31	0.02451868525593523	0.10151779898950425	0.06301824212271974	-0.17776799866352105
edu	 12th	0.05855855855855856	222	13.0	-1	4.0031819348774297e-13	0.0	0.11986851877196027	0.05855855855855856	-0.1822276822276822
edu	 1st-4th	0.030927835051546393	97	3.0	-1	1.2930493620712483e-08	0.0	0.09931626439284932	0.030927835051546393	-0.2098584057346944
edu	 5th-6th	0.036458333333333336	192	7.0	-1	6.685831609691625e-15	0.0	0.08908413418408864	0.036458333333333336	-0.20432790745290744
edu	 7th-8th	0.05362776025236593	317	17.0	-1	2.87214830364519e-19	0.004399796574818246	0.10285572392991361	0.05362776025236593	-0.18715848053387485
edu	 9th	0.03543307086614173	254	9.0	-1	1.5768258614029828e-19	0.0	0.08056349330757288	0.03543307086614173	-0.20535316992009905
edu	 Assoc-acdm	0.266173752310536	541	144.0	0	0.07738339376245185	0.1922479105179577	0.34009959410311436	0.24078624078624078	0.0
