element_name	complexity	uncertainty	total_count	sig_count	non_sig_count
rel	2.1453983481840337	0.6370372465427208	6	6	0
marit	1.8270121342066714	0.6457624037117968	7	6	1
occ	2.8296452474035374	0.7023948738386143	15	9	6
edu	2.8593629590480956	0.7049357085048045	16	13	3
age_q	1.6973887638903324	0.7068152630377806	4	4	0
edun_q	1.5443954256383154	0.7101230370326701	4	4	0
capg_q	0.334765128546953	0.7315213643083656	2	2	0
hours_q	1.6991776831890217	0.7396688030974772	4	4	0
sex	0.9132609834451486	0.7585209882842152	2	2	0
work	1.646746954219873	0.7724827346005181	9	6	3
race	0.7613479096642478	0.7886330195142423	5	3	2
nativ	0.14774023731979735	0.7923109045136294	42	1	41
fnlw_q	0.6498322207052525	0.7953061025007768	4	1	3
capl_q	0.0	0.7963453273971017	1	0	1
